inom,mi,Extração,Remodelar,Revisão,DI_Ext,DF_Ext,DI_Rem,DF_Rem,DI_Rev,DF_Rev,Situação
SB-24-Y-D-V-2-NE,1283-2-NE,,,,,,,,,,"1"
SB-24-Y-D-V-2-SO,1283-2-SO,,,,,,,,,,"1"
SB-24-Y-D-V-2-SE,1283-2-SE,,,,,,,,,,"1"
SB-24-Y-D-V-3-NO,1283-3-NO,,,,,,,,,,"1"
SB-24-Y-D-V-3-NE,1283-3-NE,,,,,,,,,,"1"
SB-24-Y-D-V-3-SO,1283-3-SO,,,,,,,,,,"1"
SB-24-Y-D-V-3-SE,1283-3-SE,,,,,,,,,,"1"
SB-24-Y-D-V-4-NO,1283-4-NO,,,,,,,,,,"1"
SB-24-Y-D-V-4-NE,1283-4-NE,,,,,,,,,,"1"
SB-24-Y-D-V-4-SO,1283-4-SO,,,,,,,,,,"1"
SB-24-Y-D-IV-1-NO,1282-1-NO,,,,,,,,,,"1"
SB-24-Y-D-IV-1-NE,1282-1-NE,,,,,,,,,,"1"
SB-24-Y-D-IV-1-SO,1282-1-SO,,,,,,,,,,"1"
SB-24-Y-D-IV-1-SE,1282-1-SE,,,,,,,,,,"1"
SC-24-V-B-I-2-NE,1361-2-NE,,,,,,,,,,"1"
SB-24-Y-D-IV-2-NO,1282-2-NO,,,,,,,,,,"1"
SC-24-V-B-I-2-SO,1361-2-SO,,,,,,,,,,"1"
SC-24-V-B-I-2-SE,1361-2-SE,,,,,,,,,,"1"
SC-24-V-B-I-3-NO,1361-3-NO,,,,,,,,,,"1"
SC-24-V-B-I-3-NE,1361-3-NE,,,,,,,,,,"1"
SB-24-Y-D-VI-3-NO,1284-3-NO,,,,,,,,,,"1"
SC-24-V-B-I-3-SO,1361-3-SO,,,,,,,,,,"1"
SC-24-V-B-I-3-SE,1361-3-SE,,,,,,,,,,"1"
SB-24-Y-D-VI-3-SO,1284-3-SO,,,,,,,,,,"1"
SC-24-V-B-I-4-NO,1361-4-NO,,,,,,,,,,"1"
SC-24-V-B-I-4-NE,1361-4-NE,,,,,,,,,,"1"
SC-24-V-B-I-4-SO,1361-4-SO,,,,,,,,,,"1"
SC-24-V-A-VI-1-NO,1438-1-NO,,,,,,,,,,"1"
SB-24-Y-D-IV-4-SE,1282-4-SE,,,,,,,,,,"1"
SC-24-V-A-VI-1-NE,1438-1-NE,,,,,,,,,,"1"
SB-24-Y-D-V-1-NO,1283-1-NO,,,,,,,,,,"1"
SC-24-V-A-VI-1-SO,1438-1-SO,,,,,,,,,,"1"
SB-24-Y-D-V-1-NE,1283-1-NE,,,,,,,,,,"1"
SC-24-V-A-VI-1-SE,1438-1-SE,,,,,,,,,,"1"
SB-24-Y-D-V-1-SO,1283-1-SO,,,,,,,,,,"1"
SC-24-V-A-VI-2-NO,1438-2-NO,,,,,,,,,,"1"
SB-24-Y-D-V-1-SE,1283-1-SE,,,,,,,,,,"1"
SC-24-V-B-II-2-NE,1362-2-NE,,,,,,,,,,"1"
SB-24-Y-D-V-2-NO,1283-2-NO,,,,,,,,,,"1"
SC-24-V-B-II-2-SO,1362-2-SO,,,,,,,,,,"1"
SC-24-V-B-II-2-SE,1362-2-SE,,,,,,,,,,"1"
SC-24-V-B-II-3-NO,1362-3-NO,,,,,,,,,,"1"
SC-24-V-B-II-3-NE,1362-3-NE,,,,,,,,,,"1"
SC-24-V-B-II-3-SO,1362-3-SO,,,,,,,,,,"1"
