inom,mi,Situação,Extração,DI_Ext,DF_Ext,Remodelar,DI_Rem,DF_Rem,Revisar,DI_Rev,DF_Rev
SC-24-X-B-VI-4-SE,1447-4-SE,"1",,,,,,,,,
SC-24-X-D-III-2-NE,1524-2-NE,"1",,,,,,,,,
SB-25-Y-C-I-4-SE,1212-4-SE,"1",,,,,,,,,
SB-25-Y-C-IV-2-NE,1291-2-NE,"1",,,,,,,,,
SB-25-Y-C-IV-2-SO,1291-2-SO,"1",,,,,,,,,
SB-25-Y-C-IV-2-SE,1291-2-SE,"1",,,,,,,,,
SB-25-Y-C-IV-3-NO,1291-3-NO,"1",,,,,,,,,
SB-25-Y-C-IV-3-NE,1291-3-NE,"1",,,,,,,,,
SB-25-Y-C-IV-3-SO,1291-3-SO,"1",,,,,,,,,
SB-25-Y-C-IV-3-SE,1291-3-SE,"1",,,,,,,,,
SB-25-Y-C-IV-4-NO,1291-4-NO,"1",,,,,,,,,
SB-25-Y-C-IV-4-NE,1291-4-NE,"1",,,,,,,,,
SB-25-Y-C-IV-4-SO,1291-4-SO,"1",,,,,,,,,
SB-25-Y-C-II-4-SE,1213-4-SE,"1",,,,,,,,,
SB-25-Y-C-IV-1-SE,1291-1-SE,"1",,,,,,,,,
SB-24-Z-D-VI-4-SE,1290-4-SE,"1",,,,,,,,,
SB-25-Y-C-II-3-SO,1213-3-SO,"1",,,,,,,,,
SB-25-Y-C-II-3-SE,1213-3-SE,"1",,,,,,,,,
SB-25-Y-C-II-4-NO,1213-4-NO,"1",,,,,,,,,
SB-25-Y-C-II-4-SO,1213-4-SO,"1",,,,,,,,,
SB-24-Z-D-VI-4-NE,1290-4-NE,"1",,,,,,,,,
SC-25-V-A-I-4-SO,1370-4-SO,"1",,,,,,,,,
SC-25-V-A-I-4-NE,1370-4-NE,"1",,,,,,,,,
SC-25-V-A-I-4-NO,1370-4-NO,"1",,,,,,,,,
SC-25-V-A-I-3-SE,1370-3-SE,"1",,,,,,,,,
SC-25-V-A-I-3-SO,1370-3-SO,"1",,,,,,,,,
SC-25-V-A-I-3-NE,1370-3-NE,"1",,,,,,,,,
SC-25-V-A-I-3-NO,1370-3-NO,"1",,,,,,,,,
SC-25-V-A-I-2-SE,1370-2-SE,"1",,,,,,,,,
SC-25-V-A-I-2-SO,1370-2-SO,"1",,,,,,,,,
SC-25-V-A-I-2-NE,1370-2-NE,"1",,,,,,,,,
SC-25-V-A-I-2-NO,1370-2-NO,"1",,,,,,,,,
SC-25-V-A-I-1-SE,1370-1-SE,"1",,,,,,,,,
SC-25-V-A-I-1-SO,1370-1-SO,"1",,,,,,,,,
SC-25-V-A-I-1-NE,1370-1-NE,"1",,,,,,,,,
SC-25-V-A-I-1-NO,1370-1-NO,"1",,,,,,,,,
SC-25-V-A-II-2-NE,1371-2-NE,"4",Sgt Elizeu,2021/04/06,2021/04/06,Sgt Albuquerque,2021/04/07,,,,
SC-25-V-A-II-2-NO,1371-2-NO,"1",,,,,,,,,
SC-25-V-A-II-1-NE,1371-1-NE,"1",,,,,,,,,
SC-25-V-A-II-1-NO,1371-1-NO,"1",,,,,,,,,
SC-25-V-A-I-4-SE,1370-4-SE,"1",,,,,,,,,
SC-25-V-A-IV-4-SO,1448-4-SO,"1",,,,,,,,,
SC-25-V-A-IV-4-NE,1448-4-NE,"1",,,,,,,,,
SC-25-V-A-IV-4-NO,1448-4-NO,"1",,,,,,,,,
SC-25-V-A-IV-3-SE,1448-3-SE,"1",,,,,,,,,
SC-25-V-A-IV-3-SO,1448-3-SO,"1",,,,,,,,,
SC-25-V-A-IV-3-NE,1448-3-NE,"1",,,,,,,,,
SC-25-V-A-IV-3-NO,1448-3-NO,"1",,,,,,,,,
SC-25-V-A-IV-2-SE,1448-2-SE,"1",,,,,,,,,
SC-25-V-A-IV-2-SO,1448-2-SO,"1",,,,,,,,,
SC-25-V-A-IV-2-NE,1448-2-NE,"1",,,,,,,,,
SC-25-V-A-IV-2-NO,1448-2-NO,"1",,,,,,,,,
SC-25-V-A-IV-1-SE,1448-1-SE,"1",,,,,,,,,
SC-25-V-A-IV-1-SO,1448-1-SO,"1",,,,,,,,,
SC-25-V-A-IV-1-NE,1448-1-NE,"1",,,,,,,,,
SC-25-V-A-IV-1-NO,1448-1-NO,"1",,,,,,,,,
SB-25-Y-C-V-2-NE,1292-2-NE,"1",,,,,,,,,
SB-25-Y-C-V-2-SO,1292-2-SO,"1",,,,,,,,,
SB-25-Y-C-V-2-SE,1292-2-SE,"1",,,,,,,,,
SB-25-Y-C-V-3-NO,1292-3-NO,"1",,,,,,,,,
SB-25-Y-C-V-3-NE,1292-3-NE,"1",,,,,,,,,
SB-25-Y-C-V-3-SO,1292-3-SO,"1",,,,,,,,,
SB-25-Y-C-V-3-SE,1292-3-SE,"1",,,,,,,,,
SB-25-Y-C-V-4-NO,1292-4-NO,"1",,,,,,,,,
SB-25-Y-C-V-4-NE,1292-4-NE,"1",,,,,,,,,
SB-25-Y-C-V-4-SO,1292-4-SO,"1",,,,,,,,,
SB-25-Y-C-IV-4-SE,1291-4-SE,"1",,,,,,,,,
SB-25-Y-C-V-1-NO,1292-1-NO,"1",,,,,,,,,
SB-25-Y-C-V-1-NE,1292-1-NE,"1",,,,,,,,,
SC-24-X-B-III-2-NE,1369-2-NE,"1",,,,,,,,,
SB-25-Y-C-V-1-SO,1292-1-SO,"1",,,,,,,,,
SB-25-Y-C-V-1-SE,1292-1-SE,"1",,,,,,,,,
SC-24-X-B-III-2-SE,1369-2-SE,"1",,,,,,,,,
SB-25-Y-C-V-2-NO,1292-2-NO,"1",,,,,,,,,
SC-24-X-B-III-4-NE,1369-4-NE,"1",,,,,,,,,
SB-25-Y-C-V-4-SE,1292-4-SE,"1",,,,,,,,,
SC-24-X-B-III-4-SE,1369-4-SE,"1",,,,,,,,,
SC-24-X-B-VI-2-NE,1447-2-NE,"1",,,,,,,,,
SC-24-X-B-VI-2-SE,1447-2-SE,"1",,,,,,,,,
SC-24-X-B-VI-4-NE,1447-4-NE,"1",,,,,,,,,
