inom,mi,Situação,Extração,DI_Ext,DF_Ext,Remodelar,DI_Rem,DF_Rem,Revisão,DI_Rev,DF_Rev
SC-24-X-B-VI-4-SO,1447-4-SO,"1",,,,,,,,,
SC-24-X-B-IV-4-SE,1445-4-SE,"1",,,,,,,,,
SC-24-X-B-V-1-NO,1446-1-NO,"1",,,,,,,,,
SC-24-X-B-V-1-NE,1446-1-NE,"1",,,,,,,,,
SC-24-X-B-V-1-SO,1446-1-SO,"1",,,,,,,,,
SC-24-X-B-V-1-SE,1446-1-SE,"1",,,,,,,,,
SC-24-X-B-V-2-NO,1446-2-NO,"1",,,,,,,,,
SC-24-X-B-V-4-SE,1446-4-SE,"1",,,,,,,,,
SC-24-X-B-VI-1-NO,1447-1-NO,"1",,,,,,,,,
SC-24-X-B-VI-1-NE,1447-1-NE,"1",,,,,,,,,
SC-24-X-B-VI-1-SO,1447-1-SO,"1",,,,,,,,,
SC-24-X-B-VI-1-SE,1447-1-SE,"1",,,,,,,,,
SC-24-X-B-VI-2-NO,1447-2-NO,"1",,,,,,,,,
SC-24-X-D-I-2-NE,1522-2-NE,"1",,,,,,,,,
SC-24-X-D-I-2-SO,1522-2-SO,"1",,,,,,,,,
SC-24-X-D-I-2-SE,1522-2-SE,"1",,,,,,,,,
SC-24-X-D-I-4-NO,1522-4-NO,"1",,,,,,,,,
SC-24-X-D-I-4-NE,1522-4-NE,"1",,,,,,,,,
SC-24-X-D-II-2-NE,1523-2-NE,"1",,,,,,,,,
SC-24-X-D-II-2-SO,1523-2-SO,"1",,,,,,,,,
SC-24-X-D-II-2-SE,1523-2-SE,"1",,,,,,,,,
SC-24-X-D-II-3-NO,1523-3-NO,"1",,,,,,,,,
SC-24-X-D-II-3-NE,1523-3-NE,"1",,,,,,,,,
SC-24-X-D-II-3-SO,1523-3-SO,"1",,,,,,,,,
SC-24-X-D-II-4-NO,1523-4-NO,"1",,,,,,,,,
SC-24-X-D-II-4-NE,1523-4-NE,"1",,,,,,,,,
SC-24-X-D-I-1-NO,1522-1-NO,"1",,,,,,,,,
SC-24-X-D-I-1-NE,1522-1-NE,"1",,,,,,,,,
SC-24-X-D-I-1-SE,1522-1-SE,"1",,,,,,,,,
SC-24-X-D-I-2-NO,1522-2-NO,"1",,,,,,,,,
SC-24-X-D-III-2-SO,1524-2-SO,"1",,,,,,,,,
SC-24-X-D-III-3-NO,1524-3-NO,"1",,,,,,,,,
SC-24-X-D-II-1-NO,1523-1-NO,"1",,,,,,,,,
SC-24-X-D-II-1-NE,1523-1-NE,"1",,,,,,,,,
SC-24-X-D-II-1-SO,1523-1-SO,"1",,,,,,,,,
SC-24-X-D-II-1-SE,1523-1-SE,"1",,,,,,,,,
SC-24-X-D-II-2-NO,1523-2-NO,"1",,,,,,,,,
SC-24-X-D-III-1-NO,1524-1-NO,"1",,,,,,,,,
SC-24-X-D-III-1-NE,1524-1-NE,"1",,,,,,,,,
SC-24-X-D-III-1-SO,1524-1-SO,"1",,,,,,,,,
SC-24-X-D-III-1-SE,1524-1-SE,"1",,,,,,,,,
SC-24-X-D-III-2-NO,1524-2-NO,"1",,,,,,,,,
